Name,Wonderlic Score,SB MVP(s),MVP(s),Pro Bowl MVP(s),OPOY,Passing Yards,Seasons Played,Touchdowns,Passer Rating,Completion %,Pick 6s,Interceptions,Success
Rodney Peete,26,0,0,0,0,16338,16,76,73.3,57.3,7,92,3.6630000000000003
Akili Smith,26,0,0,0,0,2212,4,5,52.8,46.6,1,13,1.841
Jay Cutler,26,0,0,0,0,35133,12,227,85.3,62.0,19,160,11.125
Kyle Orton,26,0,0,0,0,18037,10,101,81.2,59.5,7,69,6.877999999999999
C J Beathard,26,0,0,0,0,2682,3,12,74.6,57.3,1,13,3.267
Ryan Mallett,26,0,0,0,0,1835,8,9,66.8,55.1,0,10,0.9329999999999999
Joe Montana,26,3,2,0,0,40551,16,273,92.3,63.2,6,139,19.458
Carson Palmer,26,0,0,1,0,46247,14,294,87.9,62.5,23,187,12.972000000000001
Brett Hundley,26,0,0,0,0,1902,5,9,67.6,59.1,0,13,1.399
Dan Orlovsky,26,0,0,0,0,3132,12,15,75.3,58.2,1,13,1.095
Jameis Winston,27,0,0,0,0,19737,5,121,86.9,61.3,11,88,14.824000000000002
Josh Freeman,27,0,0,0,0,13873,7,81,77.6,57.6,6,68,7.364
Joe Flacco,27,1,0,0,0,40067,12,218,84.1,61.9,10,141,14.454
Kyle Boller,27,0,0,0,0,8931,9,48,69.5,56.7,5,54,3.582
Mike McMahon,27,0,0,0,0,2867,6,15,44.5,55.1,5,21,1.666
Brandon Weeden,27,0,0,0,0,6462,7,31,76.0,57.9,3,30,3.428
Rich Gannon,27,0,1,2,0,28743,18,180,84.7,60.2,6,104,8.881
Kelly Stouffer,27,0,0,0,0,2333,5,7,54.5,51.5,3,19,1.4980000000000002
Ryan Leaf,27,0,0,0,0,3666,4,14,50.0,48.4,6,36,2.752
Sam Darnold,28,0,0,0,0,5889,2,36,81.1,59.9,2,28,11.005999999999998
Mark Sanchez,28,0,0,0,0,15357,10,86,73.2,56.6,9,89,5.553
Brooks Bollinger,28,0,0,0,0,2226,6,9,74.6,58.6,1,9,1.455
Drew Brees,28,1,0,0,0,77416,19,547,98.4,67.6,27,237,18.153
Blake Bortles,28,0,0,0,0,17649,6,103,80.6,59.3,13,75,11.035
Peyton Manning,28,1,5,1,0,71940,18,539,96.5,65.3,27,251,28.151
Kevin Kolb,28,0,0,0,0,5206,7,28,78.9,59.5,4,25,2.826
Deshone Kizer,28,0,0,0,0,3081,3,11,58.9,53.1,1,24,3.2960000000000003
EJ Manuel,28,0,0,0,0,3767,5,20,77.5,58.1,1,16,2.9
Russell Wilson,28,0,0,1,0,29734,8,227,101.2,64.5,5,68,15.76
Marc Bulger,29,0,0,1,0,22814,8,122,84.4,62.1,10,93,10.927
Chris Weinke,29,0,0,0,0,3904,7,15,62.2,54.4,5,26,1.922
Rex Grossman,29,0,0,0,0,10232,10,56,71.4,55.2,5,60,3.7260000000000004
Josh Rosen,29,0,0,0,0,2845,2,12,63.5,54.8,4,19,4.76
John Elway,29,1,1,0,0,51475,16,300,79.9,56.9,18,226,15.842
Brady Quinn,29,0,0,0,0,3043,8,12,64.4,53.8,3,17,1.403
Jeff Driskel,29,0,0,0,0,1688,2,10,79.6,59.4,0,6,3.352
Andy Dalton,29,0,0,0,0,31594,9,204,87.5,62.0,14,118,13.6
Nick Foles,29,1,0,1,0,11901,8,71,88.2,61.9,4,35,8.007
Troy Aikman,29,1,0,0,0,32942,12,165,81.6,61.5,11,141,11.883
Kurt Warner,29,1,2,0,0,32344,12,208,93.7,65.5,15,128,16.23
Tom Savage,29,0,0,0,0,2000,5,5,72.5,67.5,0,7,1.511
Jimmy Garoppolo,29,0,0,0,0,6946,6,44,100.0,67.5,1,21,4.698
Matt Hasselbeck,29,0,0,0,0,36638,17,212,82.4,60.5,13,153,8.167
Quincy Carter,30,0,0,0,0,6337,5,32,71.7,56.5,3,37,4.519
Philip Rivers,30,0,0,0,0,59271,16,397,95.1,64.7,24,198,14.617
Josh McCown,30,0,0,0,0,17731,18,98,79.7,60.2,5,82,3.752
Matt Barkley,30,0,0,0,0,2502,7,10,65.7,58.8,0,21,1.235
David Klingler,30,0,0,0,0,3994,6,16,65.1,54.2,0,22,2.381
Zach Mettenberger,30,0,0,0,0,2347,3,12,75.4,60.3,1,14,2.845
Matt Schaub,31,0,0,1,0,25467,16,136,89.5,64.2,14,91,6.404
JP Losman,31,0,0,0,0,6271,8,33,59.2,75.6,2,34,2.884
Rick Mirer,31,0,0,0,0,11969,11,50,63.5,53.3,3,76,3.735
Trent Edwards,31,0,0,0,0,6033,5,26,75.5,60.6,6,30,4.312
Johnny Manziel,32,0,0,0,0,1675,2,7,74.4,57.0,0,7,3.1039999999999996
Matt Ryan,32,0,1,0,1,51186,12,321,94.6,65.4,17,147,18.9
Patrick Ramsey,32,0,0,0,0,5930,9,35,56.0,74.9,4,30,2.505
Sage Rosenfels,32,0,0,0,0,4156,12,30,62.5,81.2,1,29,1.3730000000000002
Tom Brady,33,4,3,0,0,74571,20,541,97.0,63.8,14,179,28.52
Charlie Whitehurst,33,0,0,0,0,2463,11,11,74.9,55.3,0,8,0.972
Marcus Mariota,33,0,0,0,0,13207,5,76,89.6,62.9,6,44,10.177
Steve Young,33,1,2,0,0,33124,15,232,96.8,64.3,4,107,14.707
Kirk Cousins,33,0,0,0,0,24107,8,155,96.8,66.9,10,71,11.948
Ryan Tannehill,34,0,0,0,0,23176,8,145,89.8,63.5,9,81,11.265999999999998
Aaron Rodgers,35,1,2,0,0,46946,15,364,102.4,64.6,2,84,19.07
Matt Leinart,35,0,0,0,0,4064,7,15,70.2,57.1,0,21,2.104
Christian Ponder,35,0,0,0,0,6658,4,38,75.9,59.8,7,36,6.072
Kellen Clemons,35,0,0,0,0,4063,12,16,68.9,54.9,5,21,1.287
Drew Stanton,35,0,0,0,0,4059,13,20,66.3,52.4,0,24,1.213
J. T. O'Sullivan,35,0,0,0,0,1866,4,9,69.9,56.4,2,13,1.676
Jared Goff,36,0,0,0,0,14219,4,87,91.9,62.4,3,42,13.934000000000001
Sam Bradford,36,0,0,0,1,19449,9,103,84.5,62.5,8,61,8.389
Jason Garrett,36,0,0,0,0,2042,12,11,83.2,56.1,0,5,0.825
Drew Bledsoe,36,0,0,0,0,44611,14,251,77.1,57.2,15,206,11.779000000000002
Andrew Luck,37,0,0,0,0,23671,7,171,89.5,60.8,10,83,13.472000000000001
Tony Romo,37,0,0,0,0,34183,13,248,97.1,65.3,13,117,10.574000000000002
Josh Allen,37,0,0,0,0,5163,2,30,78.2,56.3,1,21,9.763
Matthew Stafford,38,0,0,1,0,41025,11,256,89.3,62.5,20,134,14.829
Colin Kaepernick,38,0,0,0,0,12271,6,72,88.9,59.8,3,30,8.136000000000001
Matt Flynn,38,0,0,0,0,2541,8,17,85.9,61.3,4,11,1.3659999999999999
Charlie Frye,38,0,0,0,0,4154,5,17,69.7,61.9,1,29,2.8280000000000003
Brian Griese,39,0,0,0,0,19440,11,119,82.7,62.7,12,99,6.6129999999999995
Eli Manning,39,2,0,0,0,57023,16,366,84.1,60.3,22,244,17.201
Carson Wentz,40,0,0,0,0,14191,4,97,92.7,63.8,1,35,14.373
Alex Smith,40,0,0,0,0,34068,14,193,87.3,62.4,8,101,9.476
Hugh Millen,41,0,0,0,0,6440,9,22,73.5,60.3,1,35,2.526
Blaine Gabbert,42,0,0,0,0,9063,8,48,71.7,56.2,7,47,4.157
Ryan Fitzpatrick,48,0,0,0,0,32886,15,210,81.6,60.3,13,161,8.283
